label,Company,Production date,Date of sale,Customer,Wood species,Assortment,Length,Width,Thickness,Timber square meter,Timber volume,Timber weight,Quality class,Moisture content,Specific characteristics,Export,National trade,Certification,Storage Place,Waste from the trunk (%)
F1L6B1,Sawmill,4/1/24 0:00,,In house processing,spruce,Sawn Board,400,20,2,5,0,8,0,02,,3,6,,No,Yes,no,spruce q3,41
F1L6B2,Sawmill,4/1/24 0:00,,In house processing,spruce,Sawn Board,400,20,2,5,0,8,0,02,,3,8,,No,Yes,no,spruce q3,45
F1L6B3,Sawmill,4/1/24 0:00,,In house processing,spruce,Sawn Board,400,20,2,5,0,8,0,02,,3,6,,No,Yes,no,spruce q3,45
F1L6B4,Sawmill,4/1/24 0:00,,In house processing,spruce,Sawn Board,400,20,2,5,0,8,0,02,,3,6,,No,Yes,no,spruce q3,38
F1L6B5,Sawmill,4/1/24 0:00,,In house processing,spruce,Sawn Board,400,20,2,5,0,8,0,02,,3,8,,No,Yes,no,spruce q3,35
F1L6B6,Sawmill,4/1/24 0:00,,In house processing,spruce,Sawn Board,400,20,2,5,0,8,0,02,,3,6,,No,Yes,no,spruce q3,36
F1L6B7,Sawmill,4/1/24 0:00,,In house processing,spruce,Sawn Board,400,20,2,5,0,8,0,02,,3,9,,No,Yes,no,spruce q3,43
F1L6B8,Sawmill,4/1/24 0:00,,In house processing,spruce,Sawn Board,400,20,2,5,0,8,0,02,,3,9,,No,Yes,no,spruce q3,35
F1L41B1,Sawmill,4/1/24 0:00,,In house processing,spruce,Sawn Board,400,30,11,1,2,0,132,,2,8,,No,Yes,no,spruce q2,38
F1L41B2,Sawmill,4/1/24 0:00,,In house processing,spruce,Sawn Board,400,30,11,1,2,0,132,,2,7,,No,Yes,no,spruce q2,37
F1L41B3,Sawmill,4/1/24 0:00,,In house processing,spruce,Sawn Board,400,30,11,1,2,0,132,,2,8,,No,Yes,no,spruce q2,42
F1L153B1,Sawmill,4/1/24 0:00,,In house processing,larch,Sawn Board,400,25,5,5,1,0,055,,1,6,,No,Yes,no,larch q1 ,45
